LAD23NM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Tewkesbury,364.7,361.7,379.1,371.8,385.6,414.2,401.9,430.0,444.0,449.0,441.4,496.0,493.0,536.7,561.2,556.7,574.9
Midlothian,364.8,369.3,399.7,383.3,365.0,385.0,383.3,415.3,425.1,449.2,460.5,477.6,468.4,506.0,532.0,613.1,626.3
York,365.3,392.1,380.2,382.9,387.4,389.8,388.6,408.2,411.7,422.4,406.0,469.2,455.5,480.1,506.1,550.2,626.5
Amber Valley,365.7,367.1,381.9,382.2,389.0,422.2,414.0,402.5,420.0,423.7,427.0,482.8,450.7,486.8,492.4,564.2,589.0
East Ayrshire,366.1,365.7,372.0,373.6,387.9,387.1,379.5,413.4,421.8,436.5,449.9,480.7,474.4,507.0,516.9,560.0,560.9
Flintshire,367.2,386.7,397.4,367.2,372.4,378.8,395.9,392.6,427.5,397.5,419.7,449.5,456.6,497.5,523.0,566.6,632.7
Cannock Chase,367.3,364.0,384.0,376.6,365.8,376.3,357.1,389.2,449.1,449.8,453.1,449.4,444.1,527.0,494.5,534.3,563.7
New Forest,367.5,366.4,389.0,395.4,409.0,393.7,404.7,409.6,413.6,432.3,453.8,471.5,483.6,450.4,498.2,553.8,591.7
Southampton,367.7,380.3,390.8,372.0,386.8,387.2,402.5,401.0,408.8,427.9,443.1,473.1,468.6,537.0,551.6,569.3,581.8
Inverclyde,367.9,373.7,356.6,362.7,351.6,355.5,372.6,394.6,400.9,406.1,409.0,390.7,389.1,483.5,509.7,535.8,544.7
Cardiff,368.6,396.0,383.8,390.3,400.1,420.5,403.6,415.4,439.6,448.9,443.4,477.1,466.3,488.7,527.0,570.3,584.6
Tameside,368.8,369.1,365.3,361.0,376.0,370.1,363.2,374.3,386.8,400.9,427.6,438.9,421.8,435.3,486.9,538.7,579.0
Gosport,368.9,382.9,354.1,381.2,398.0,395.3,401.9,414.0,449.1,455.0,407.0,472.8,474.8,495.6,504.3,559.3,650.8
Bedford,369.5,402.7,409.1,394.8,440.0,447.0,434.4,459.9,471.0,476.7,484.1,485.1,544.0,545.3,574.0,616.6,678.5
Plymouth,369.5,358.0,383.7,354.5,370.5,375.6,381.1,399.5,386.3,413.2,440.8,427.0,414.6,430.5,469.9,524.4,556.5
Cheshire West and Chester,369.6,384.5,393.0,389.0,402.6,415.7,421.9,424.6,430.4,446.0,460.4,483.1,504.6,505.0,528.4,583.2,605.6
South Holland,369.7,380.6,415.9,399.7,399.4,406.9,421.6,393.7,420.4,409.2,446.3,449.1,480.5,503.9,508.0,555.7,578.0
Tendring,369.7,376.0,385.2,390.4,388.6,402.5,408.7,401.9,390.4,404.3,424.5,407.5,421.9,468.1,484.7,503.8,579.4
Hartlepool,370.5,363.1,383.7,368.5,391.4,403.1,385.6,408.8,428.2,431.6,434.6,442.4,451.4,489.3,496.9,527.7,566.9
Merthyr Tydfil,370.6,341.7,371.4,369.5,379.1,377.6,399.1,388.1,398.6,410.6,396.0,440.6,465.3,480.5,503.8,543.7,594.5
West Lothian,370.7,375.0,394.0,400.7,410.1,407.6,423.8,424.1,421.6,457.5,451.9,476.4,511.2,526.9,537.4,599.2,635.6
Lancaster,371.4,379.3,371.0,357.4,363.7,400.0,368.0,383.2,405.7,421.3,411.0,431.3,422.9,470.5,476.7,524.7,551.4
Coventry,371.5,374.4,374.9,383.3,395.4,404.5,399.0,412.9,440.8,427.3,464.2,460.0,462.9,501.3,517.8,577.4,568.2
Rochdale,373.1,387.5,393.5,366.8,383.2,371.5,382.5,377.8,391.0,380.2,411.4,427.0,420.2,439.6,472.3,552.9,579.7
Pendle,373.3,360.3,353.5,335.6,364.0,370.5,392.9,378.4,416.6,411.9,415.0,433.8,360.2,398.6,437.6,479.2,528.9
Rossendale,373.3,356.3,340.2,352.6,378.6,360.5,342.8,381.8,347.8,379.1,402.5,419.6,439.0,453.2,464.0,523.2,598.7
Angus,373.5,378.9,377.8,383.3,382.5,382.6,392.7,390.5,403.2,407.7,448.4,457.4,441.2,455.2,512.1,552.8,590.0
Lincoln,373.8,370.0,386.1,325.5,339.6,364.5,383.1,350.8,345.8,385.5,368.0,411.2,420.3,434.8,492.5,540.7,571.3
Peterborough,374.8,370.1,365.9,380.1,369.7,388.1,397.8,393.5,396.2,389.3,421.0,444.7,452.0,481.6,493.4,547.0,575.6
Erewash,375.2,378.1,381.8,384.8,403.4,423.8,413.6,421.6,413.5,430.4,450.5,448.5,460.6,517.9,556.6,558.6,598.1
Rother,375.2,369.0,353.3,379.4,385.5,350.2,361.0,359.9,386.3,386.2,383.0,422.9,363.6,455.3,513.3,488.6,576.2
Fife,375.4,375.5,384.3,375.8,383.6,405.5,407.5,417.7,426.1,432.5,456.6,452.1,485.0,501.2,492.4,567.8,594.8
Wigan,375.9,371.5,385.1,372.4,383.3,400.6,400.0,416.2,413.8,421.6,428.7,452.2,456.9,484.7,498.4,537.1,586.4
Calderdale,376.4,381.9,398.9,395.5,416.8,400.2,410.4,404.3,423.7,430.6,416.8,455.0,451.6,453.3,493.4,545.1,587.5
Nuneaton and Bedworth,377.8,390.3,378.8,377.7,383.3,400.7,415.3,422.9,418.0,418.7,429.8,443.1,430.3,487.2,526.0,551.4,596.8
Chesterfield,378.5,343.2,394.6,383.4,361.9,349.2,371.7,375.9,404.1,394.4,400.0,415.5,410.5,442.6,461.8,518.1,574.0
Bassetlaw,378.6,382.0,385.3,369.4,381.7,385.8,384.7,404.2,416.2,410.3,406.4,430.4,454.9,429.4,456.2,504.4,543.1
Stirling,378.7,394.2,381.9,402.4,420.3,433.6,420.8,432.2,464.2,487.5,474.1,533.5,475.8,537.7,499.6,596.4,640.9
North East Derbyshire,380.1,381.3,383.3,398.2,420.6,422.5,401.3,375.8,407.5,408.7,410.2,455.0,460.0,479.1,506.7,557.1,575.1
Chorley,380.2,383.8,391.9,384.0,412.5,401.3,398.1,427.6,426.6,434.1,473.0,477.9,466.4,512.8,550.1,601.9,624.7
Wirral,380.2,390.2,404.8,383.5,388.8,394.0,404.5,408.6,413.6,417.8,434.8,465.3,475.3,469.7,522.0,590.7,608.5
Canterbury,380.6,377.0,369.7,410.4,405.3,404.6,425.5,445.9,427.5,437.5,432.4,459.6,467.5,488.4,488.4,498.8,571.4
South Hams,381.7,364.6,369.0,379.8,338.2,397.6,405.9,377.3,389.1,402.8,410.2,393.1,417.3,493.1,476.4,496.5,568.7
South Kesteven,382.5,391.5,389.1,373.9,392.7,415.6,396.8,383.6,374.0,413.1,409.3,431.1,434.8,492.4,502.5,574.9,581.4
High Peak,382.8,395.3,408.5,422.8,421.6,394.8,383.1,390.9,428.6,463.4,445.7,432.8,448.9,468.9,512.2,600.1,589.7
Isle of Anglesey,382.9,385.3,365.6,396.3,401.1,405.3,401.2,420.8,429.3,437.8,425.5,445.8,459.9,505.3,522.7,578.9,618.3
Charnwood,383.3,403.4,393.3,405.9,392.5,425.8,430.2,448.5,439.0,424.2,442.1,478.5,478.2,498.2,525.3,578.8,611.2
Harborough,383.3,421.8,434.2,419.0,428.8,455.8,447.2,489.0,499.0,517.1,510.9,496.9,557.5,540.8,550.6,577.1,652.2
Fareham,383.3,424.7,402.7,456.3,456.3,465.0,468.6,481.0,483.0,498.8,524.3,518.8,536.8,594.0,573.8,642.2,665.8
Wrexham,383.5,386.8,386.4,375.6,384.1,421.6,388.3,391.0,403.5,432.7,440.0,480.7,485.1,483.9,533.6,552.2,570.7
Blaby,383.8,426.2,443.4,430.1,434.0,460.0,459.4,475.6,451.2,466.7,469.6,492.9,514.2,480.1,574.9,587.2,643.2
Leeds,384.1,395.4,403.8,402.5,407.6,413.7,412.0,417.2,440.8,447.3,457.4,465.4,485.1,501.9,536.4,574.4,603.7
Stockport,384.3,386.6,415.5,409.7,413.4,427.0,418.1,425.6,449.0,474.9,479.2,510.6,492.6,513.0,552.1,592.2,633.2
Aberdeen City,385.0,399.3,411.4,419.2,429.7,433.2,467.7,479.0,452.2,443.0,466.7,498.3,480.6,486.4,526.3,605.9,592.8
